Happy,Feeling joy or pleasure.,yín,ọṅụ,farin ciki
Hat,Covering for the head,fìlì,nkpụ isi,hula
He,A male person (third person singular).,òun,ya,shi
Hello,A greeting used when meeting someone.,báyí,nno,sannu
Hot,Having a high temperature.,gbóná,ọkụ,zafi
House,A building where people live.,ilé,ụlọ,gida
Hug,To hold someone close in your arms,fìgbọ́,gbanyie,rungume
Ice,Solid water.,ìgbó,ọkụrụ,kankara
Ice Cream,"Cold, sweet dessert made from frozen milk and cream",ọ̀fè ìyìn,ice cream,ɗan ƙaraɗi
Island,Piece of land surrounded by water,erékùsù,agwaetiti,tsibiri
Jacket,Piece of clothing worn on top,bùbù,uwe elu,riga
Jump,To move quickly up into the air.,sán,tọpụ,tsalle
Key,A small object used to open a lock.,àwọ̀n,mgbịrịgba,mabudi
Key,Small object used to open a lock,àwọ̀n,mgbịrịgba,mabudi
Kiss,To press your lips against someone as a sign of affection,fún,sụ ọnụ mụmụ,sumba
Ladder,Portable steps used for climbing,ìgbò,nkeji,takalmi
Laugh,To make a sound of amusement.,rìn,ṅụ ọchị,dariya
Leaf,"Flat, green part of a plant",ewú,akwụ,ganye
Library,Place where books are stored and loaned,ilé-ìwé nlá,ụlọ akwụkwọ ukwu,dakin littafi
Light,The opposite of dark.,ìfàṣì,ọjụọọ,haske
Light,The opposite of dark,ìfàṣì,ọjụọọ,haske
Lunch,A meal eaten in the middle of the day.,oúnjẹ òru,nri ehihie,abinci na rana
Mail,Letters and packages delivered to your home,ìwé ìfìwérí,nkwakọba ozi,wasika
Man,An adult male person.,ọkùnrin,nwoke,namiji
Map,Drawing that shows the layout of an area,àwòrán ilẹ̀,maapụ,taswira
Medicine,Substance used to treat illness,oògùn,ọgwụ,magani
Milk,A white liquid produced by cows.,ìwànyu,mmiri ara ehi,madara
Milk,White liquid produced by cows,ìwànyu,mmiri ara ehi,madara
Mirror,Reflective surface that shows your image,àlámọ́,anya,madubi
Mirror,Reflective surface that shows your image,àlámọ́,anya,madubi
Monkey,"Small, furry animal with a long tail",ekùn,enyí,birai
Mosquito,"Small, flying insect that bites people",èègbọ́,ụmụ ahụ,sauro
Mountain,"Large, rocky landform",òkè,ugwu,dutse
Mouth,Part of the face used for speaking and eating,ẹnu,ọnụ,baki
Music,Sounds arranged in a way that is pleasing to listen to,orin,egwu,waƙa
Music,Sounds arranged in a way that is pleasing to listen to,orin,egwu,
Nap,Short sleep during the day,sùn kukuru,hie ụra ehihie,bacci na rana
Necklace,Piece of jewelry worn around the neck,àwọ-ọrùn,ọla,wuya
Nose,Part of the face used for smelling,imú,imi,hanci
Nose,Part of the face used for smelling,imú,imi,hanci
Open,Unclosed or unlocked,ṣí,mepee,buɗe
Paint,Colored liquid used to decorate things,àwọ̀,agba,fenti
Pants,Garment covering the lower body and legs,aso ìgbòòrò,uwe ọdọ,wando
Pencil,Writing tool made of graphite,pénsìlì,pensụl,fensir
Pillow,Soft bag filled with feathers or foam used for resting your head,àìyá,oghe,matashi
Play,To have fun in a way that is not serious,tàtà,kpọrọ ihe ọchị,yi wasa
Rain,Water falling from the sky,òjò,mmiri ọzọ,ruwa
Rain,Water falling from the sky,òjò,mmiri ọzọ,ruwa
Rainbow,Arch of colors appearing in the sky after rain,ìsùn-méjìdínlógún,ọgụgụ ntianya,bakan gizo
Read,To look at written words and understand them,kà,gụọ,karanta
Red,The color of blood or fire,àwọ pupa,ọbara ọbara,ja
Ring,Circular band of metal worn on a finger,orí,mgbaaka,zobe
River,Flowing body of water,odò,osimiri,kogi
Road,"Long, narrow path for traveling on",òpó ìyìn,ụzọ,hanya
Rock,Hard piece of stone,òkúta,nkume,dutse
Room,Part of a building where people can live or work,yàrá,ọnụ ụlọ,dakin
Run,To move quickly on your feet,sá,gba ọkpụ,gudu
Sand,Tiny grains of rock found on beaches,iyanrìn,ájá aja,yashi
School,Place where children learn,ilé-ìwé,ụlọ akwụkwọ,makaranta
See,To perceive something with your eyes,rí,hụ,gani
Shoe,Covering for the foot,bata,akpụkpụ,takalmi
Sing,To make musical sounds with your voice,kọrin,bịa olu,waƙa
Sky,The blue expanse above the earth,òfurufú,igwe,sama
Sleep,To rest your body and mind,dùn,hie ụra,yi bacci
Small,Tiny or not big,kékeré,obere,ƙarami
Smell,To detect an odor with your nose,rùn,ṅụ ísì,ji wangi
Smile,To express happiness by curving your lips upward,rìn ìtàn,ịmụmụ ọnụ ọchị,murmushi
Speak,To use words to communicate,sọ̀rọ̀,kwuo okwu,yi magana
Spoon,Utensil used for eating soup or stirring food,àpọn,ngaji,cokali
Spring,Season between winter and summer,àkókò ìrẹ̀,oge mmiri ọhụrụ,bazara
Stand,To be upright on your feet,dúró,guzo,tsaya
Star,Bright object in the night sky,ìràwò,kpakpando,tauraro
Stomach,Organ in the body that holds food,àfẹ́,afo,ciki
Strong,Having a lot of physical power,lágbára,ike,ƙarfi
Sun,Large star that provides light and heat,òràn,anyanwụ,rana
Swim,To move through water,sìn,gwu mmiri,iyo
Table,Piece of furniture with a flat top used for eating or working,tàbìlì,tebụl,tebur
Teacher,Person who teaches students,olùkọ́,nne/nna ukwu,malami
Tree,Large plant with a trunk and branches,igi,osisi,itace
Walk,To move on foot,rìn,jee ịje,tafiya
Water,Clear liquid essential for life,omi,mmiri,ruwa
White,The color of snow or milk,funfun,ọcha,fari
Window,Opening in a wall that lets in light and air,wínidò,windo,taga
Word (English),Meaning,Yoruba,Igbo,Hausa
Yellow,The color of the sun or a banana,àwọ àṣọ,odo odo,rawaya
ABOUT,on the subject of; concerning,Ní ilẹ̀ tó gbogbo rẹ̀,N'ịdị nke a; n'ihu,A kan abu
ALWAYS,at all times; on all occasions,ní ìròyìn ní àwọn iròyìn,site,Kowace lokacin
BAG,a flexible container with an opening at the top,òṣù,akpa,Kanti
BIRTH,the emergence of a baby or other young from the body of its mother,ìṣéjú kòótó tí ènìyàn rẹ bá ń gbogbo,iwu nkewa,Nuna yara ko wasa
ABOVE,at a higher level or layer than,láti rí ní ìlẹ̀ tó gbogbo,n'elu,A sama
AMAZE,cause someone to be extremely surprised or shocked,ṣe èyí tí ènìyàn kò le sárétabí kò le jẹ,gbakwunye ya,Yi ikon Allah wa mutum
BALL,a spherical object used in various sports and games,òkúlọ,òkè,Gajeruwa
BIT,a small piece or quantity of something,irò,iwu,Nono
ABSOLUTE,not qualified or diminished in any way; total,"kò tó sílẹ̀ kòòkan, gbogbo",isi ozi; o wuru n'anya,Mai kyau
AMONG,surrounded by; in the company of,ni inu rẹ; ní ilẹ̀ tó gbogbo,n'okpuru,Wurin
BANK,a financial institution that accepts deposits from the public,ìláńkàárè,akụrụngwa,Banki
BLACK,of the very darkest color,dúdú,ojii,Baure
ACCEPT,agree to receive or undertake something offered,ṣe ìlò tó gbogbo tó ṣe òun ti a ṣèlè ní bí,gbaa nụrụ,Ajiye
AMOUNT,"a quantity of something, typically the total of a thing or things in number, size, value, or extent",mẹta,iwu; agbakọ,Kasuwanci
BAR,a long rigid piece of metal or wood,òkó àìkà,baa,Kofa
BLOOD,the red liquid that circulates in the arteries and veins,èdá,mmiri ọla,Damuwa
ACROSS,from one side to the other,sí ilẹ̀ tó gbogbo,n'akụkụ,Kasa
AND,"used to connect words of the same part of speech, clauses, or sentences",pẹ̀lú,na,Da
BASE,the lowest part or edge of something,kínì kì í gbogbo,akọkọ,A hannu na
BLOW,(of wind) move creating an air current,(èdá) bá òkè,ṅkpịta ya,Busa
ACT,take action; do something,sọ́ tó sọ,gbanwere,Aiki
ANGRY,having a strong feeling of displeasure or hostility,ní ìdáhùn,enyemaka,Kasa
BASIC,forming an essential foundation or starting point; fundamental,pàdé òkè; tó ń la pàdé,isi ngo,Yau da gudu
BLUE,of a color intermediate between green and violet,aìlà,blu,Azumi
ACTUAL,existing in fact; real,ní ìlá,ogologo,Real
ANIMAL,a living organism that feeds on organic matter,èèdá,anọ,Janji
BATH,a large container for water in which someone may wash or bathe,igi òkè,nchịkọta,Wanka
BOARD,"a long, thin, flat piece of wood or other hard material",bọọdù,ìsọọ̀,Kwamfuta
ADD,"combine or unite to increase in size, quantity, number, or degree",pọ̀,tinye,Jaddada
ANOTHER,used to refer to an additional person or thing of the same type,ìyára,ọzọ,Neman kashi
BE,exist; have life,wà,bụ,Zai iya
BOAT,a small vessel propelled on water,oní,mbọ,Jakara
ADDRESS,the particulars of the place where someone lives or an organization is situated,ìrò ìlú; ìrò ìlẹ̀,adreesị,Lamba
ANSWER,a spoken or written reply,dá,n'efu,Jawabi
BEACH,"a pebbly or sandy shore, especially by the ocean between high",ẹyin èéfí,ọzụzụ,Tashi
BODY,"the physical structure of a person or an animal, including the bones, flesh, and organs",èèdá,nwayọọ,Jinin
ADMIT,confess to be true or to be the case,ràn sí,gbasịrị,A kawo aiki
ANY,"used to refer to one or some of a thing or number of things, no matter how much or many",gbogbo,ọtụtụ,Duk
BEAR,(of a person) carry,béèrè,nyere,Zubar
BONE,"any of the pieces of hard, whitish tissue making up the skeleton in humans and other vertebrates",èsé,oke,Tsaunin
ADVERTISE,"describe or draw attention to (a product, service, or event) in a public medium in order to promote sales or attendance",sọ ìmọ̀ ẹ̀dá,pụrụ ọrụ,Yayi rubutu
APART,separated by a distance in time or space,làti rí,n'otu,Waje
BEAT,strike (a person or an animal) repeatedly and violently so as to hurt or injure them,dá,gbakọ,Biyo
BOOK,a written or printed work consisting of pages glued or sewn together along one side and bound in covers,ìwe,akwụkwọ,Littafi
AFFORD,have enough money to pay for,rò ní,nwee ego,Zai iya
APPARENT,clearly visible or understood; obvious,tó bá gbogbo wà,ọ bụrụ na,Maras
BEAUTY,"a combination of qualities, such as shape, color, or form, that pleases the aesthetic senses",aláídù,anụnụ,Rawaya
BORING,not interesting; tedious,tó gbogbo kù,akpọgherị,Daidai
AFRAID,feeling fear or anxiety,ní ohùn,n'achụ,Jin kai
APPEAR,"come into sight; become visible or noticeable, typically without visible agent or apparent cause",wà,kpatụrụ,Yi
BECAUSE,for the reason that; since,ní ilẹ̀ tó bá wà,n'ihu,Saboda
BORN,having started life; having been alive at birth,tó bá gbogbo,kwụsị,Take
AFTER,during the period of time following an event,ní ilẹ̀ tó rẹ,n'otu,Bayan
AREA,"a region or part of a town, a country, or the world",kọ́ọ̀kan ní ilẹ̀,obodo,Birni
BECOME,begin to be,tó bá gbogbo,bụrụ ike,Zama
BOTH,"used to refer to two people or things, regarded and identified together",méjì,abụọ,Dubu
AFTERNOON,the time from noon or lunchtime to evening,òsán,efiefula,Safe
ARM,each of the two upper limbs of the human body from the shoulder to the hand,ìlẹ̀ èdá,agha,Kofar ciki
BED,"a piece of furniture for sleep or rest, typically a framework with a mattress",òkè,ụtọ,Takalmi
BOTHER,take the trouble to do something,ní ìtútù sí,gbakwunye,Kishin kasa
AGAINST,in opposition to; in resistance to,ní ilẹ̀ tó gbogbo,nkejiasụsụ,Ko
ARRANGE,"put (things) in a neat, attractive, or required order",tún tó gbogbo,wakọta,Karkatar da
BEGIN,start or commence (an action or process),bẹ̀rẹ́,,
BOTTOM,the lowest point or part of something,ọdẹ,,
AGE,the length of time that a person has lived or a thing has existed,ojúewé,,
ARRIVE,reach a place at the end of a journey or a stage in a journey,wà,,
BEHIND,"at or to the far side of (something), typically so as to be hidden by it",láìdá,,
BOX,"a container with a flat base and sides, typically square or rectangular and having a lid",bọ̀sí,,
AGO,in the past; before now,kàn,,
ART,the expression or application of human creative skill and imagination,ìṣẹ́,,
BELIEVE,"accept that (something) is true, especially without proof",gbàmí,,
BOY,a male child or young man,ọmọkúnrin,,
AGREE,have the same opinion about something; concur,ńkọ̀,,
AS,used in comparisons to refer to the extent or degree of something,bíi,,
BELOW,at a lower level or layer than,láàárọ́,,
BREAD,"food made of flour, water, and yeast or another leavening agent, mixed together and baked",ẹbá,,
AHEAD,in or toward the front,sílẹ̀,,
ASHAMED,"embarrassed or guilty because of one's actions, characteristics, or associations",rúbọ,,
BENEATH,in or to a lower position than; under,láàrọ́,,
BREAK,separate or cause to separate into pieces,pa,,
BREAKFAST,"a meal eaten in the morning, the first of the day",ìsọ̀nkò,,
BREATH,the air taken into or expelled from the lungs,ìfẹsọ́,,
CENTRE,the point that is equally distant from all points on the circumference of a circle or sphere,ìbọ̀wọ́,,
COME,move or travel toward or into a place thought of as near or familiar,wá,,
DARLING,a person one loves or likes very much,ọmọdé,,
DRESS,a one,wẹ̀wẹ̀,,
DEATH,the action or fact of dying or being killed,ìjìyà,,
EACH,"every one of two or more people or things, regarded and identified separately",gbogbo,,
EAR,the organ of hearing and balance in humans and other vertebrates,etí,,
EARLY,happening or done before the usual or expected time,wáyé,,
EARTH,the planet on which we live; the world,ayé,,
EYE,each of a pair of globular organs in the head through which people and vertebrate animals see,ojú,,
FIVE,equivalent to the sum of two and three,mẹ́ẹ̀dógún,,
GAS,an air,ẹsẹ̀,,
GENERAL,"affecting or concerning all or most people, places, or things; widespread",gbogbo ní,,
GENTLE,"having or showing a mild, kind, or tender temperament or character",dáadáa,,
GET,come to have or hold (something); receive,gba,,
GIVE,freely transfer the possession of (something) to (someone); hand over to,bẹ̀rẹ́,,
GLAD,pleased; delighted,ṣeré,,
GLANCE,take a brief or hurried look,bí,,
GIRL,a female child,ọmọbinrin,,
GO,move from one place to another; travel,lọ,,
GOD,(in Christianity and other monotheistic religions) the creator and ruler of the universe and source of all moral authority; the supreme being,Oluwa,,
ENTER,To come or go into a place.,jọ̀wọ́,,
ESPECIALLY,Particularly; more than others.,ni gbogbo àṣà,,
EVEN,Equal or level; flat.,bíi,,
EVENING,"The latter part of the day, from late afternoon until night.",òsán,,
EVER,At any time; always.,gbogbo,,
EVERY,Each and all; all possible.,gbogbo,,
EXACT,Precise; accurate.,àìjọ́,,
EXCEPT,Not including; other than.,láàárọ́,,
EXCITE,To arouse strong feelings in; to stir up.,sọ̀,,
EXCUSE,A reason or explanation put forward to defend or justify a fault or offense.,párọ,,
EXPECT,To anticipate; to look forward to.,mọ́,,
EXPENSIVE,Costing a lot of money; high,dínà,,
EXPERIENCE,"Practical knowledge, skill, or practice derived from direct observation.",àṣà,,
EXPLAIN,To make clear or understandable.,fẹ́rẹ́,,
EXPRESS,To convey or communicate in words or by gestures.,bẹ̀rẹ́,,
EXTRA,Additional; more than is usual or necessary.,pàápàá,,
HANG,To be suspended or attached from above.,dá,,
HAPPEN,To occur; to take place.,rí,,
HAPPY,Feeling or showing pleasure or contentment.,họ̀ọ̀rọ̀,,
HARD,Difficult; requiring a great deal of effort.,gíga,,
HARDLY,Barely; almost not.,ṣàmú,,
HAT,A covering for the head.,ẹjẹ,,
HATE,To feel intense or passionate dislike for someone.,kì í wọlé,,
HAVE,To possess; to own.,wà,,
HE,A pronoun referring to a male person or animal.,ọ,,
HEAD,"The upper part of the human body, containing the brain and sensory organs.",ọkan,,
HEALTH,The state of being free from illness or injury.,àrọwò,,
HEAR,To perceive sound through the ears.,rí,,
HEART,The organ in the chest that pumps blood through the circulatory system.,ọkan,,
HEAT,The quality of being hot; high temperature.,,,
HEAVY,Weighing a lot; difficult to lift or move.,,,
HELL,A place regarded in various religions as a spiritual realm of evil and suffering.,,,
HELLO,A greeting or expression of goodwill.,,,
HELP,To assist or aid someone.,,,
HERE,"In, at, or to this place.",,,
HIDE,To conceal oneself from view.,,,
HIGH,Of great vertical extent.,,,
HILL,"A naturally raised area of land, not as high as a mountain.",,,
HISTORY,"The study of past events, particularly in human affairs.",,,
HIT,To strike with force.,,,
HOLD,To have and keep in one's grasp.,,,
HOLE,A hollow place in a solid body.,,,
HOLIDAY,A day of festivity or recreation when no work is done.,,,
HOME,A place where one lives.,,,
HONEST,Free of deceit; truthful and sincere.,,,
HONOUR,High respect or esteem.,,,
HOPE,A feeling of expectation and desire for a certain thing to happen.,,,
LOVELY,Very pleasant or beautiful.,,,
LOW,Not high in position or status.,,,
LUCK,Success or failure apparently brought by chance rather than through one's own actions.,,,
FELLOW,a man or boy.,,,
FEW,a small number of something.,,,
FIELD,"an area of open land, especially one planted with crops or pasture.",,,
FIGHT,a violent confrontation or struggle.,,,
FIGURE,a numerical symbol or shape.,,,
FILL,to make or become full.,,,
FILM,a motion picture.,,,
FINAL,coming at the end; last.,,,
FIND,discover or locate.,,,WÀ
FINE,of high quality.,,,RẸ̀
FINGER,each of the four slender jointed parts attached to either hand.,,WÀ,ÌKÀ
FINISH,bring or come to an end.,,RẸ̀,TÍ
FIRE,the rapid oxidation of a material in the chemical process of combustion.,,ÌKÀ,Ọ̀NÀ
FIRST,coming before all others in time or order.,,TÍ,FÚN
FISH,a limbless cold,,Ọ̀NÀ,Ẹ̀JỌ́
FIT,be of the right shape and size for.,,FÚN,RẸ̀
HORRIBLE,causing or likely to cause horror; shocking.,,Ẹ̀JỌ́,BÚÚ
HORSE,a large plant,,RẸ̀,Ẹ̀JÌRÉ
HOSPITAL,an institution providing medical treatment.,,BÚÚ,ỌMỌ́GBỌ
HOT,having a high degree of heat or a high temperature.,,Ẹ̀JÌRÉ,SÌ
HOUR,a period of time equal to a twenty,,ỌMỌ́GBỌ,WÀ
HOUSE,a building for human habitation.,,SÌ,ILẸ̀
HOW,in what way or manner; by what means.,,WÀ,BÍ
HOWEVER,nevertheless; despite that.,,ILẸ̀,SÉ
HUGE,extremely large or great.,,BÍ,GẸ́GẸ́ BÍ
HUMAN,relating to or characteristic of humankind.,,SÉ,Ọ̀RỌ̀
HUNDRED,the number equivalent to the product of ten and ten.,,GẸ́GẸ́ BÍ,WÀ
HUNGER,a feeling of discomfort or weakness caused by lack of food.,,Ọ̀RỌ̀,Ẹ̀JỌ́
HUNT,pursue and kill for food or sport.,,WÀ,KÙN
HURRY,move or act quickly.,,Ẹ̀JỌ́,DÁ
HURT,cause physical pain or injury to.,,KÙN,DÁ
HUSBAND,a married man considered in relation to his spouse.,,DÁ,ÌYÀWỌ̀
ICE,"frozen water, a brittle transparent crystalline solid.",,DÁ,MÓ
IDEA,a thought or suggestion as to a possible course of action.,,ÌYÀWỌ̀,Ọ̀NÀ
IF,introducing a condition or supposition.,,MÓ,Ọ̀NÀ
IMAGINE,form a mental image or concept of.,,Ọ̀NÀ,TÍ
IMPORTANT,of great significance or value.,,Ọ̀NÀ,BÍ
IN,expressing the situation of something that is or appears to be enclosed or surrounded.,,TÍ,DÁ
INDEED,used to emphasize a statement or response confirming something already suggested.,,BÍ,NÍ
INFORM,give (someone) facts or information.,,DÁ,BÈÉNI
INSIDE,the inner side or surface of something.,,NÍ,TÍ
INSTEAD,as an alternative or substitute.,,BÈÉNI,NÍ
INSURE,arrange for compensation in the event of damage to or loss of (property).,,TÍ,SÉ
INTEREST,the state of wanting to know or learn about something or someone.,,NÍ,FÚN
INTERNET,a global computer network providing a variety of information and communication facilities.,,SÉ,RÍ
INTO,expressing movement or action with the result that someone or something becomes enclosed or surrounded by something else.,,FÚN,Ẹ̀NÍYÀN
MINUTE,a period of time equal to sixty seconds or a sixtieth of an hour.,,RÍ,WÀ
MISS,"fail to hit, reach, or come into contact with (something aimed at).",,Ẹ̀NÍYÀN,Ọ̀SẸ
MISTAKE,a wrong action or decision.,,WÀ,BÍ
FORGET,Fail to remember.,,Ọ̀SẸ,KÚ
FORM,The structure or shape of something.,,BÍ,WÀ
FORTUNATE,Lucky; favored by fortune.,,KÚ,WÀ
FORWARD,In the direction that one is facing or moving.,,WÀ,Ọ̀RỌ̀
FOUR,The number 4.,,WÀ,TÍ
FREE,Not under the control or in the power of another.,,Ọ̀RỌ̀,MẸ́RẸ̀
FREEZE,Turn into ice or another solid as a result of extreme cold.,,TÍ,RẸ̀
FRESH,"Recently made or obtained; not canned, frozen, or stale.",,MẸ́RẸ̀,FÚN
FRIDAY,The day of the week between Thursday and Saturday.,,RẸ̀,Ẹ̀YỌ̀
FRIEND,A person whom one knows and with whom one has a bond of mutual affection.,,FÚN,ỌJỌ́RÙ
FRIGHT,A sudden intense feeling of fear.,,Ẹ̀YỌ̀,RẸ̀
FROM,"Indicating the point in space at which a journey, motion, or action starts.",,ỌJỌ́RÙ,JÌ
FRONT,The side or part of an object that presents itself to view.,,RẸ̀,NÍ
FULL,Containing or holding as much or as many as possible.,,JÌ,NÍ
FUN,"Enjoyment, amusement, or lighthearted pleasure.",,NÍ,RÍ
FURTHER,"At, to, or by a greater distance or more advanced point.",,NÍ,RẸ̀
GAME,An activity engaged in for diversion or amusement.,,RÍ,NÍ
GARDEN,"A piece of ground, often near a house, used for growing flowers, fruit, or vegetables.",,RẸ̀,Rẹ̀
INVOLVE,Include (something) as a necessary part or result.,,NÍ,Ọ̀RÍLẸ̀
ISLAND,A piece of land surrounded by water.,,Rẹ̀,Rẹ̀
ISSUE,An important topic or problem for debate or discussion.,,Ọ̀RÍLẸ̀,ÌSỌ̀NÀ
IT,Used to represent a thing or situation already mentioned.,WÀ,Rẹ̀,WÀ
JOB,A paid position of regular employment.,RẸ̀,ÌSỌ̀NÀ,NÍ
JOIN,To bring or connect together into a single unit or group.,ÌKÀ,WÀ,ÌSẸ́
JOKE,"A form of entertainment, not meant to be taken seriously, usually consisting of a punchline.",TÍ,NÍ,Rẹ̀
JUDGE,A person who decides on a case in a court of law.,Ọ̀NÀ,ÌSẸ́,RẸ̀
JUMP,Propel oneself upward or forward into the air.,FÚN,Rẹ̀,WỌ̀N
JUST,Based on or behaving according to what is morally right and fair.,Ẹ̀JỌ́,RẸ̀,RẸ̀
KEEP,Have or retain possession of.,RẸ̀,WỌ̀N,FÚN
KEY,A small piece of shaped metal with incisions cut to fit the wards of a particular lock.,BÚÚ,RẸ̀,FÚN
KICK,Strike or propel forcibly with the foot.,Ẹ̀JÌRÉ,FÚN,Ọ̀FẸ̀
KID,A child or young person.,ỌMỌ́GBỌ,FÚN,FÚN
KILL,"Cause the death of (a person, animal, or other living thing).",SÌ,Ọ̀FẸ̀,Ọ̀MỌ
KIND,"Having or showing a friendly, generous, and considerate nature.",WÀ,FÚN,FÚN
KING,"The male ruler of an independent state, especially one who inherits the position by right of birth.",ILẸ̀,Ọ̀MỌ,RẸ̀
KISS,"Touch with the lips as a sign of love, sexual desire, or greeting.",BÍ,FÚN,OBA
KITCHEN,A room or area where food is prepared and cooked.,SÉ,RẸ̀,FÚN
KNOCK,Strike a surface noisily to attract attention.,GẸ́GẸ́ BÍ,OBA,BÚN
